el,f11,f12,f13,f21,f22,f23
46338, -0.101591, 0.761750, -0.639856, 0.687399, 0.510723, 0.516376
46339, 0.159786, 0.629082, -0.760740, 0.704085, 0.457653, 0.542972
46340, 0.155104, 0.607651, -0.778912, 0.720082, 0.460652, 0.518924
46341, 0.747669, -0.641498, -0.171670, 0.469033, 0.339169, 0.815459
46342, 0.036633, 0.877979, -0.477296, 0.501686, 0.393444, 0.770398
46343, 0.664738, -0.705016, -0.247134, 0.627694, 0.325275, 0.707245
46344, 0.738202, -0.632236, -0.235234, 0.520915, 0.322961, 0.790154
46345, 0.030482, 0.926774, -0.374380, 0.393891, 0.328273, 0.858538
46346, 0.761584, -0.626437, -0.166030, 0.453942, 0.305539, 0.837008
46347, 0.001822, 0.894552, -0.446959, 0.468780, 0.393338, 0.790905
46348, 0.005094, 0.914237, -0.405147, 0.442817, 0.357010, 0.822470
46349, 0.230205, 0.768405, -0.597126, 0.538666, 0.410515, 0.735742
46350, 0.058566, 0.869279, -0.490840, 0.518485, 0.387947, 0.762017
46351, 0.805670, -0.375312, -0.458298, 0.582573, 0.342455, 0.737111
46352, 0.831165, -0.334984, -0.443791, 0.548152, 0.326020, 0.770221
46353, -0.032044, 0.922801, -0.383942, 0.397781, 0.359913, 0.843939
46354, 0.011780, 0.860973, -0.508514, 0.558044, 0.411759, 0.720445
46355, -0.375950, 0.903867, -0.204174, 0.376743, 0.351332, 0.857106
46356, 0.777926, -0.606955, -0.162596, 0.411391, 0.275124, 0.868944
46357, -0.208878, 0.956910, -0.201724, 0.164403, 0.239441, 0.956890
46358, -0.157949, 0.970889, -0.180074, 0.167571, 0.208547, 0.963550
46359, -0.203579, 0.949436, -0.239014, 0.148701, 0.272726, 0.950531
46360, 0.144045, 0.969265, -0.199442, 0.150221, 0.180493, 0.972037
46361, 0.903299, -0.428925, 0.008624, -0.140352, -0.339333, 0.930137
46362, 0.950633, -0.259772, 0.169752, -0.171496, -0.119260, 0.977940
46363, 0.893729, -0.429980, 0.127925, -0.179679, -0.244521, 0.952851
46364, -0.162139, 0.942669, -0.291696, 0.105611, 0.310791, 0.944593
46365, 0.790973, -0.032825, 0.610970, -0.506726, 0.627238, 0.591440
46366, 0.773926, -0.168049, 0.610571, -0.146519, 0.827198, 0.542472
46367, 0.804249, 0.013177, 0.594146, -0.538655, 0.513518, 0.667945
46368, -0.174695, 0.965632, -0.192449, 0.184240, 0.225886, 0.956573
46369, -0.118432, 0.969405, -0.215006, 0.225192, 0.237381, 0.944955
46370, -0.177029, 0.965895, -0.188964, 0.150021, 0.219050, 0.964111
